Adversário,Local,Gols Pró,Gols Contra,Torneio,Resultado,Data do Jogo,Avaliação,Técnico,Pontos
Corinthians,Casa,2,0,Serie A,Vitória,19/7/2025,5,Hernán Crespo,3
Bragantino,Fora,2,2,Serie A,Empate,16/7/2025,3,Hernán Crespo,1
Flamengo,Fora,0,2,Serie A,Derrota,12/7/2025,1,Hernán Crespo,0
Vasco,Casa,1,3,Serie A,Derrota,12/6/2025,1,Zubeldia,0
Bahia,Fora,1,2,Serie A,Derrota,31/5/2025,1,Zubeldia,0
Talleres,Casa,2,1,CONMEBOL Libertadores,Vitória,27/5/2025,4,Zubeldia,3
Mirassol,Casa,0,2,Serie A,Derrota,24/5/2025,1,Zubeldia,0
Náutico,Fora,2,1,Copa Do Brasil,Vitória,20/5/2025,4,Zubeldia,3
Grêmio,Casa,2,1,Serie A,Vitória,17/5/2025,4,Zubeldia,3
Libertad,Casa,1,1,CONMEBOL Libertadores,Empate,14/5/2025,3,Zubeldia,1
Palmeiras,Fora,0,1,Serie A,Derrota,11/5/2025,2,Zubeldia,0
Alianza Lima,Fora,2,0,CONMEBOL Libertadores,Vitória,6/5/2025,5,Zubeldia,3
Fortaleza,Casa,0,0,Serie A,Empate,2/5/2025,2,Zubeldia,1
Náutico,Casa,2,1,Copa Do Brasil,Vitória,29/4/2025,3,Zubeldia,3
Ceará,Fora,1,1,Serie A,Empate,26/4/2025,4,Zubeldia,1
Libertad,Fora,2,0,CONMEBOL Libertadores,Vitória,23/4/2025,4,Zubeldia,3
Santos,Casa,2,1,Serie A,Vitória,20/4/2025,5,Zubeldia,3
Botafogo,Fora,2,2,Serie A,Empate,16/4/2025,3,Zubeldia,1
Cruzeiro,Casa,1,1,Serie A,Empate,13/4/2025,3,Zubeldia,1
Alianza Lima,Casa,2,2,CONMEBOL Libertadores,Empate,10/4/2025,2,Zubeldia,1
Atlético MG,Fora,0,0,Serie A,Empate,6/4/2025,4,Zubeldia,1
Talleres,Fora,1,0,CONMEBOL Libertadores,Vitória,2/4/2025,5,Zubeldia,3
Sport,Casa,0,0,Serie A,Empate,29/3/2025,1,Zubeldia,1
Palmeiras,Fora,0,1,Paulista - A1,Derrota,10/3/2025,3,Zubeldia,0
Novorizontino,Casa,1,0,Paulista - A1,Vitória,3/3/2025,4,Zubeldia,3
São Bernardo,Fora,3,1,Paulista - A1,Vitória,23/2/2025,4,Zubeldia,3
Ponte Preta,Casa,1,2,Paulista - A1,Derrota,19/2/2025,1,Zubeldia,0
Palmeiras,Fora,0,0,Paulista - A1,Empate,16/2/2025,4,Zubeldia,1
Velo Clube,Casa,3,3,Paulista - A1,Empate,13/2/2025,1,Zubeldia,1
Inter de Limeira,Casa,0,0,Paulista - A1,Empate,10/2/2025,2,Zubeldia,1
Bragantino,Fora,0,1,Paulista - A1,Derrota,8/2/2025,1,Zubeldia,0
Mirasol,Casa,4,1,Paulista - A1,Vitória,5/2/2025,4,Zubeldia,3
Santos,Fora,1,3,Paulista - A1,Derrota,1/2/2025,1,Zubeldia,0
Portuguesa,Fora,2,1,Paulista - A1,Vitória,29/1/2025,4,Zubeldia,3
Corinthians,Casa,3,1,Paulista - A1,Vitória,26/1/2025,5,Zubeldia,3
Guarani,Casa,1,0,Paulista - A1,Vitória,23/1/2025,4,Zubeldia,3
Botafogo SP,Fora,0,0,Paulista - A1,Empate,20/1/2025,3,Zubeldia,1
Flamengo,Fora,0,0,Friendlies Clubs,Empate,19/1/2025,3,Zubeldia,1
Cruzeiro,Fora,1,1,Friendlies Clubs,Empate,15/1/2025,3,Zubeldia,1
Botafogo,Fora,1,2,Serie A,Derrota,8/12/2024,2,Zubeldia,0
Juventude,Casa,1,2,Serie A,Derrota,4/12/2024,1,Zubeldia,0
Grêmio,Fora,1,2,Serie A,Derrota,1/12/2024,2,Zubeldia,0
Atlético MG,Casa,2,2,Serie A,Empate,23/11/2024,3,Zubeldia,1
Bragantino,Fora,1,1,Serie A,Empate,20/11/2024,2,Zubeldia,1
Atlético Paranaense,Casa,2,1,Serie A,Vitória,9/11/2024,4,Zubeldia,3
Bahia,Fora,3,0,Serie A,Vitória,5/11/2024,4,Zubeldia,3
Criciúma,Fora,1,1,Serie A,Empate,26/10/2024,3,Zubeldia,1
Vasco,Casa,3,0,Serie A,Vitória,16/10/2024,5,Zubeldia,3
Cuiabá,Fora,0,2,Serie A,Derrota,5/10/2024,1,Zubeldia,0
Corinthians,Casa,3,1,Serie A,Vitória,29/9/2024,3,Zubeldia,3
Botafogo,Casa,1,1,CONMEBOL Libertadores,Empate,25/9/2024,2,Zubeldia,1
Internacional,Casa,1,3,Serie A,Derrota,22/9/2024,1,Zubeldia,0
Botafogo,Fora,0,0,CONMEBOL Libertadores,Empate,18/9/2024,4,Zubeldia,1
Cruzeiro,Fora,1,0,Serie A,Vitória,15/9/2024,5,Zubeldia,3
Atlético MG,Fora,0,0,Copa Do Brasil,Empate,13/9/2024,3,Zubeldia,1
Fluminense,Fora,0,2,Serie A,Derrota,1/9/2024,1,Zubeldia,0
Atlético MG,Casa,0,1,Copa Do Brasil,Derrota,28/8/2024,2,Zubeldia,0
Vitória,Casa,2,1,Serie A,Vitória,25/8/2024,5,Zubeldia,3
Nacional - URU,Casa,2,0,CONMEBOL Libertadores,Vitória,22/8/2024,4,Zubeldia,3
Palmeiras,Fora,1,2,Serie A,Derrota,18/8/2024,2,Zubeldia,0
Nacional - URU,Fora,0,0,CONMEBOL Libertadores,Empate,15/8/2024,4,Zubeldia,1
Atlético GO,Casa,1,0,Serie A,Vitória,11/8/2024,4,Zubeldia,3
Goiás,Fora,0,0,Copa Do Brasil,Empate,8/8/2024,3,Zubeldia,1
Flamengo,Casa,1,0,Serie A,Vitória,3/8/2024,5,Zubeldia,3
Goiás,Casa,2,0,Copa Do Brasil,Vitória,30/7/2024,3,Zubeldia,3
Fortaleza,Fora,0,1,Serie A,Derrota,27/7/2024,2,Zubeldia,0
Botafogo,Casa,2,2,Serie A,Empate,24/7/2024,4,Zubeldia,1
Juventude,Fora,0,0,Serie A,Empate,21/7/2024,2,Zubeldia,1
Grêmio,Casa,1,0,Serie A,Vitória,17/7/2024,5,Zubeldia,3
Atlético MG,Fora,1,2,Serie A,Derrota,11/7/2024,2,Zubeldia,0
Bragantino,Casa,2,0,Serie A,Vitória,6/7/2024,5,Zubeldia,3
Atlético Paranaense,Fora,2,1,Serie A,Vitória,3/7/2024,5,Zubeldia,3
Bahia,Casa,3,1,Serie A,Vitória,30/6/2024,5,Zubeldia,3
Criciúma,Casa,2,1,Serie A,Vitória,27/6/2024,3,Zubeldia,3
Vasco,Fora,1,4,Serie A,Derrota,22/6/2024,1,Zubeldia,0
Cuiabá,Casa,0,1,Serie A,Derrota,19/6/2024,1,Zubeldia,0
Corinthians,Fora,2,2,Serie A,Empate,16/6/2024,3,Zubeldia,1
Internacional,Fora,0,0,Serie A,Empate,13/6/2024,3,Zubeldia,1
Cruzeiro,Casa,2,0,Serie A,Vitória,2/6/2024,4,Zubeldia,3
Talleres,Casa,2,0,CONMEBOL Libertadores,Vitória,29/5/2024,5,Zubeldia,3
Águia de Marabá,Casa,2,0,Copa Do Brasil,Vitória,23/5/2024,4,Zubeldia,3
Barcelona Guayaquil,Casa,0,0,CONMEBOL Libertadores,Empate,16/5/2024,2,Zubeldia,1
Fluminense,Casa,2,1,Serie A,Vitória,13/5/2024,4,Zubeldia,3
Cobresal,Fora,3,1,CONMEBOL Libertadores,Vitória,8/5/2024,4,Zubeldia,3
Vitória,Fora,3,1,Serie A,Vitória,5/5/2024,4,Zubeldia,3
Águia de Marabá,Fora,3,1,Copa Do Brasil,Vitória,2/5/2024,4,Zubeldia,3
Palmeiras,Casa,0,0,Serie A,Empate,29/4/2024,4,Zubeldia,1
Barcelona Guayaquil ,Fora,2,0,CONMEBOL Libertadores,Vitória,25/4/2024,5,Zubeldia,3
Atlético GO,Fora,3,0,Serie A,Vitória,21/4/2024,5,Milton Cruz,3
Flamengo ,Fora,1,2,Serie A,Derrota,17/4/2024,2,Carpini,0
Fortaleza,Casa,1,2,Serie A,Derrota,14/4/2024,1,Carpini,0
Cobresal ,Casa,2,0,CONMEBOL Libertadores,Vitória,10/4/2024,3,Carpini,3
Talleres,Fora,1,2,CONMEBOL Libertadores,Derrota,4/4/2024,2,Carpini,0
Novorizontino,Casa,1,1,Paulista - A1,Empate,17/3/2024,1,Carpini,1
Ituano,Fora,3,2,Paulista - A1,Vitória,10/3/2024,2,Carpini,3
Palmeiras,Casa,1,1,Paulista - A1,Empate,3/3/2024,4,Carpini,1
Inter de Limeira,Fora,3,0,Paulista - A1,Vitória,28/2/2024,4,Carpini,3
Guarani,Fora,1,1,Paulista - A1,Empate,25/2/2024,2,Carpini,1
Bragantino,Casa,2,2,Paulista - A1,Empate,17/2/2024,2,Carpini,1
Santos,Casa,0,1,Paulista - A1,Derrota,14/2/2024,2,Carpini,0
Ponte Preta,Fora,0,2,Paulista - A1,Derrota,10/2/2024,1,Carpini,0
Água Santa,Casa,3,0,Paulista - A1,Vitória,7/2/2024,5,Carpini,3
Palmeiras,Fora,0,0,Supercopa,Empate,4/2/2024,5,Carpini,1
Corinthians,Fora,2,1,Paulista - A1,Vitória,30/1/2024,4,Carpini,3
Portuguesa,Casa,1,0,Paulista - A1,Vitória,27/1/2024,4,Carpini,3
Mirasol,Fora,1,1,Paulista - A1,Empate,23/1/2024,3,Carpini,1
Santo André,Casa,3,1,Paulista - A1,Vitória,20/1/2024,4,Carpini,3
Flamengo,Casa,1,0,Serie A,Vitória,7/12/2023,,Dorival Júnior,3
Atletico-MG,Fora,1,2,Serie A,Derrota,3/12/2023,,Dorival Júnior,0
Bahia,Fora,1,0,Serie A,Vitória,29/11/2023,,Dorival Júnior,3
Cuiaba,Casa,0,0,Serie A,Empate,26/11/2023,,Dorival Júnior,1
Fluminense,Fora,0,1,Serie A,Derrota,23/11/2023,,Dorival Júnior,0
Santos,Fora,0,0,Serie A,Empate,12/11/2023,,Dorival Júnior,1
RB Bragantino,Casa,1,0,Serie A,Vitória,8/11/2023,,Dorival Júnior,3
Cruzeiro,Casa,1,0,Serie A,Vitória,2/11/2023,,Dorival Júnior,3
Atletico Paranaense,Fora,1,1,Serie A,Empate,29/10/2023,,Dorival Júnior,1
Palmeiras,Fora,0,5,Serie A,Derrota,25/10/2023,,Dorival Júnior,0
Gremio,Casa,3,0,Serie A,Vitória,21/10/2023,,Dorival Júnior,3
Goias,Fora,0,2,Serie A,Derrota,19/10/2023,,Dorival Júnior,0
Vasco DA Gama,Fora,0,0,Serie A,Empate,7/10/2023,,Dorival Júnior,1
Corinthians,Casa,2,1,Serie A,Vitória,30/9/2023,,Dorival Júnior,3
Coritiba,Casa,2,1,Serie A,Vitória,27/9/2023,,Dorival Júnior,3
Flamengo,Casa,1,1,Copa Do Brasil,Empate,24/9/2023,,Dorival Júnior,1
Fortaleza EC,Casa,1,2,Serie A,Derrota,21/9/2023,,Dorival Júnior,0
Flamengo,Fora,1,0,Copa Do Brasil,Vitória,17/9/2023,,Dorival Júnior,3
Internacional,Fora,1,2,Serie A,Derrota,14/9/2023,,Dorival Júnior,0
LDU de Quito,Casa,1,0,CONMEBOL Sudamericana,Vitória,31/8/2023,,Dorival Júnior,3
America Mineiro,Fora,1,2,Serie A,Derrota,27/8/2023,,Dorival Júnior,0
LDU de Quito,Fora,1,2,CONMEBOL Sudamericana,Derrota,24/8/2023,,Dorival Júnior,0
Botafogo,Casa,0,0,Serie A,Empate,19/8/2023,,Dorival Júnior,1
Corinthians,Casa,2,0,Copa Do Brasil,Vitória,16/8/2023,,Dorival Júnior,3
Flamengo,Fora,1,1,Serie A,Empate,13/8/2023,,Dorival Júnior,1
San Lorenzo,Casa,2,0,CONMEBOL Sudamericana,Vitória,10/8/2023,,Dorival Júnior,3
Atletico-MG,Casa,0,2,Serie A,Derrota,6/8/2023,,Dorival Júnior,0
San Lorenzo,Fora,0,1,CONMEBOL Sudamericana,Derrota,3/8/2023,,Dorival Júnior,0
Bahia,Casa,0,0,Serie A,Empate,30/7/2023,,Dorival Júnior,1
Corinthians,Fora,1,2,Copa Do Brasil,Derrota,26/7/2023,,Dorival Júnior,0
Cuiaba,Fora,1,2,Serie A,Derrota,22/7/2023,,Dorival Júnior,0
Santos,Casa,4,1,Serie A,Vitória,16/7/2023,,Dorival Júnior,3
Palmeiras,Fora,2,1,Copa Do Brasil,Vitória,13/7/2023,,Dorival Júnior,3
RB Bragantino,Fora,0,0,Serie A,Empate,9/7/2023,,Dorival Júnior,1
Palmeiras,Casa,1,0,Copa Do Brasil,Vitória,5/7/2023,,Dorival Júnior,3
Fluminense,Casa,1,0,Serie A,Vitória,1/7/2023,,Dorival Júnior,3
Tigre,Casa,2,0,CONMEBOL Sudamericana,Vitória,28/6/2023,,Dorival Júnior,3
Cruzeiro,Fora,0,1,Serie A,Derrota,25/6/2023,,Dorival Júnior,0
Atletico Paranaense,Casa,2,1,Serie A,Vitória,21/6/2023,,Dorival Júnior,3
Palmeiras,Casa,0,2,Serie A,Derrota,11/6/2023,,Dorival Júnior,0
Deportes Tolima,Casa,5,0,CONMEBOL Sudamericana,Vitória,8/6/2023,,Dorival Júnior,3
Gremio,Fora,1,2,Serie A,Derrota,4/6/2023,,Dorival Júnior,0
Sport Recife,Casa,1,3,Copa Do Brasil,Derrota,1/6/2023,,Dorival Júnior,0
Goias,Casa,2,1,Serie A,Vitória,28/5/2023,,Dorival Júnior,3
Puerto Cabello,Fora,2,0,CONMEBOL Sudamericana,Vitória,24/5/2023,,Dorival Júnior,3
Vasco DA Gama,Casa,4,2,Serie A,Vitória,20/5/2023,,Dorival Júnior,3
Sport Recife,Fora,2,0,Copa Do Brasil,Vitória,17/5/2023,,Dorival Júnior,3
Corinthians,Fora,1,1,Serie A,Empate,14/5/2023,,Dorival Júnior,1
Fortaleza EC,Fora,0,0,Serie A,Empate,11/5/2023,,Dorival Júnior,1
Internacional,Casa,2,0,Serie A,Vitória,7/5/2023,,Dorival Júnior,3
Deportes Tolima,Fora,0,0,CONMEBOL Sudamericana,Empate,2/5/2023,,Dorival Júnior,1
Coritiba,Fora,1,1,Serie A,Empate,29/4/2023,,Dorival Júnior,1
Ituano,Fora,1,0,Copa Do Brasil,Vitória,26/4/2023,,Dorival Júnior,3
America Mineiro,Casa,3,0,Serie A,Vitória,22/4/2023,,Dorival Júnior,3
Puerto Cabello,Casa,2,0,CONMEBOL Sudamericana,Vitória,19/4/2023,,Rogério Ceni,3
Botafogo,Fora,1,2,Serie A,Derrota,15/4/2023,,Rogério Ceni,0
Ituano,Casa,0,0,Copa Do Brasil,Empate,12/4/2023,,Rogério Ceni,1
Tigre,Fora,2,0,CONMEBOL Sudamericana,Vitória,7/4/2023,,Rogério Ceni,3
Água Santa,Casa,0,0,Paulista - A1,Empate,13/3/2023,,Rogério Ceni,1
Botafogo SP,Fora,3,1,Paulista - A1,Vitória,5/3/2023,,Rogério Ceni,3
São Bernardo,Casa,0,1,Paulista - A1,Derrota,25/2/2023,,Rogério Ceni,0
Sao Bento,Fora,3,0,Paulista - A1,Vitória,21/2/2023,,Rogério Ceni,3
Inter De Limeira,Casa,5,1,Paulista - A1,Vitória,16/2/2023,,Rogério Ceni,3
Santos,Casa,3,1,Paulista - A1,Vitória,12/2/2023,,Rogério Ceni,3
RB Bragantino,Fora,1,2,Paulista - A1,Derrota,8/2/2023,,Rogério Ceni,0
Santo André,Fora,1,0,Paulista - A1,Vitória,5/2/2023,,Rogério Ceni,3
Corinthians,Casa,1,2,Paulista - A1,Derrota,29/1/2023,,Rogério Ceni,0
Portuguesa,Casa,4,1,Paulista - A1,Vitória,27/1/2023,,Rogério Ceni,3
Palmeiras,Fora,0,0,Paulista - A1,Empate,22/1/2023,,Rogério Ceni,1
Ferroviária,Fora,2,1,Paulista - A1,Vitória,18/1/2023,,Rogério Ceni,3
Ituano,Casa,0,0,Paulista - A1,Empate,15/1/2023,,Rogério Ceni,1
Guarani Campinas,Casa,1,0,Friendlies Clubs,Vitória,7/1/2023,,Rogério Ceni,3
Goias,Fora,4,0,Serie A,Vitória,13/11/2022,,Rogério Ceni,3
Internacional,Casa,0,1,Serie A,Derrota,9/11/2022,,Rogério Ceni,0
Fluminense,Fora,1,3,Serie A,Derrota,5/11/2022,,Rogério Ceni,0
Atletico-MG,Casa,2,2,Serie A,Empate,2/11/2022,,Rogério Ceni,1
Atletico Goianiense,Casa,2,1,Serie A,Vitória,27/10/2022,,Rogério Ceni,3
Juventude,Fora,2,1,Serie A,Vitória,23/10/2022,,Rogério Ceni,3
Coritiba,Casa,3,1,Serie A,Vitória,20/10/2022,,Rogério Ceni,3
Palmeiras,Fora,0,0,Serie A,Empate,16/10/2022,,Rogério Ceni,1
Botafogo,Casa,0,1,Serie A,Derrota,9/10/2022,,Rogério Ceni,0
America Mineiro,Fora,2,1,Serie A,Vitória,6/10/2022,,Rogério Ceni,3
Independiente del Valle,Casa,0,2,CONMEBOL Sudamericana,Derrota,1/10/2022,,Rogério Ceni,0
Avai,Casa,4,0,Serie A,Vitória,25/9/2022,,Rogério Ceni,3
Ceara,Fora,2,0,Serie A,Vitória,18/9/2022,,Rogério Ceni,3
Flamengo,Fora,0,1,Copa Do Brasil,Derrota,15/9/2022,,Rogério Ceni,0
Corinthians,Casa,1,1,Serie A,Empate,11/9/2022,,Rogério Ceni,1
Atletico Goianiense,Casa,2,0,CONMEBOL Sudamericana,Vitória,9/9/2022,,Rogério Ceni,3
Cuiaba,Fora,1,1,Serie A,Empate,4/9/2022,,Rogério Ceni,1
Atletico Goianiense,Fora,1,3,CONMEBOL Sudamericana,Derrota,2/9/2022,,Rogério Ceni,0
Fortaleza EC,Casa,0,1,Serie A,Derrota,28/8/2022,,Rogério Ceni,0
Flamengo,Casa,1,3,Copa Do Brasil,Derrota,25/8/2022,,Rogério Ceni,0
Santos,Fora,0,1,Serie A,Derrota,21/8/2022,,Rogério Ceni,0
America Mineiro,Fora,2,2,Copa Do Brasil,Empate,19/8/2022,,Rogério Ceni,1
RB Bragantino,Casa,3,0,Serie A,Vitória,14/8/2022,,Rogério Ceni,3
Ceara,Fora,1,2,CONMEBOL Sudamericana,Derrota,10/8/2022,,Rogério Ceni,0
Flamengo,Casa,0,2,Serie A,Derrota,6/8/2022,,Rogério Ceni,0
Ceara,Casa,1,0,CONMEBOL Sudamericana,Vitória,3/8/2022,,Rogério Ceni,3
Atletico Paranaense,Fora,0,1,Serie A,Derrota,31/7/2022,,Rogério Ceni,0
America Mineiro,Casa,1,0,Copa Do Brasil,Vitória,28/7/2022,,Rogério Ceni,3
Goias,Casa,3,3,Serie A,Empate,23/7/2022,,Rogério Ceni,1
Internacional,Fora,3,3,Serie A,Empate,20/7/2022,,Rogério Ceni,1
Fluminense,Casa,2,2,Serie A,Empate,17/7/2022,,Rogério Ceni,1
Palmeiras,Fora,1,2,Copa Do Brasil,Derrota,14/7/2022,,Rogério Ceni,0
Atletico-MG,Fora,0,0,Serie A,Empate,10/7/2022,,Rogério Ceni,1
U. Catolica,Casa,4,1,CONMEBOL Sudamericana,Vitória,8/7/2022,,Rogério Ceni,3
Atletico Goianiense,Fora,2,1,Serie A,Vitória,3/7/2022,,Rogério Ceni,3
U. Catolica,Fora,4,2,CONMEBOL Sudamericana,Vitória,1/7/2022,,Rogério Ceni,3
Juventude,Casa,0,0,Serie A,Empate,26/6/2022,,Rogério Ceni,1
Palmeiras,Casa,1,0,Copa Do Brasil,Vitória,23/6/2022,,Rogério Ceni,3
